cnpj;codCVM;codB3
33958695000178;01159;UNIP6
34007109000172;512771;BICR11
34027597000180;PICE;PICE11
34027597000180;PICE;PICE12
34027774000128;529354;RFOF11
34081611000123;526444;CPFF11
34081631000102;533440;HOSI11
34081637000171;565245;BLMG11
34169557000172;00130;BMIN4
34177279000103;00651;GAFP3
34197700000130;516872;TCIN11
34197700000130;517461;TCIN12
34197727000122;536180;MORE11
34197776000165;521566;MGHT11
34197811000146;532071;VGIP11
34218291000100;PFIN;PFIN11
34218609000153;SAIF;SAIF11
34274233000102;02429;VBBR3
34508872000187;529516;URPR11
34508923000170;511498;CFHI11
34508959000154;579051;HCHG11
34598181000111;521914;LGCP11
34606480000150;BBOV;BBOV11
34633510000118;IFRA;IFRA11
34691520000100;559601;EVBI11
34691520000100;559601;EVBI12
34736432000187;546526;QIRI11
34736510000143;566969;PEMA11
34803814000186;SMAC;SMAC11
34835191000123;521949;LUGG11
34835191000123;521949;LUGG12
34847042000184;583170;TSER11
34847063000108;533459;ALZM11
34895752000180;560421;BRIP11
34895894000147;525340;BLMO11
34964179000119;BRZP;BRZP11
35121329000195;ASIA;ASIA11
35360687000150;556221;HSAF11
35507262000121;556203;HREC11
35507457000171;532061;RVBI11
35578672000163;NASD;NASD11
35586415000173;518867;HPDP11
35640741000111;BDIV;BDIV11
35640942000119;PPEI;PPEI11
35641061000112;ENDD;ENDD11
35652060000173;539139;BLCP11
35652102000176;558133;PVBI11
35652154000142;556211;GCFF11
35652154000142;556211;GCFF12
35652204000191;563749;MGCR11
35652227000104;584967;RBLG11
35652252000180;566926;NAVT11
35652278000128;555347;BRLA11
35688460000139;597856;HDOF11
35689497000181;630810;SEED11
35689497000181;630829;SEED13
35689670000141;538991;RCFF11
35689733000160;565229;RRCI11
35705463000133;528366;RBRL11
35754164000199;551694;PATL11
35765826000126;552836;AIEC11
35791391000194;02330;QUSW3
35820768000196;536199;ZIFI11
35864448000138;573981;KNSC11
36046508000178;XFIX;XFIX11
36098375000183;535907;BTSG11
36200677000110;605735;GTLG11
36244015000142;576603;VSLH11
36293425000183;551708;ITIT11
36312772000106;579289;ITIP11
36368869000130;548448;BLMR11
36368925000137;535915;TRXB11
36368925000137;535915;TRXB12
36445551000106;565237;YUFI11
36445587000190;599182;VIUR11
36461242000120;02117;AMIL3
36501128000186;558346;RZTR11
36501159000137;571652;HBCR11
36501181000187;570192;JFLL11
36501198000134;579297;PLOG11
36501210000100;608688;GURB11
36501233000115;598321;CYCR11
36517660000191;563730;RBRS11
36542025000164;02381;BRQB3
36615915000159;560774;JBFO11
36642099000172;583154;MGIM11
36642139000186;602256;MCHF11
36642139000186;602256;MCHF12
36642219000131;569348;RZAK11
36642219000131;569348;RZAK12
36642244000115;581372;BTAL11
36642293000158;583146;AFHI11
36642356000176;579270;RECX11
36642570000122;KNOX;KNOX11
36655973000106;607355;MCHY11
36669660000107;558095;KISU11
36669709000121;CRPT;CRPT11
36771692000119;588350;VGHF11
36930464000144;592250;BTSI11
