"razao_social";"setor";"ranking";"carteira";"score_ise_b3";"capital_humano";"governanca_corporativa_e_alta_gestao";"modelo_de_negocios_e_inovacao";"capital_social";"meio_ambiente";"cdp";"ano";"mudanca_do_clima_cdp_climate_change"
"ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.";"Bens Industriais/Transporte/Exploração de Rodovias";25;"Sim";78,2513759155365;0,707408549560138;0,812485233371362;0,856428571428571;0,794236250393878;0,930910682355991;NA;2022;0,714
"EDP - ENERGIAS DO BRASIL S.A.";"Utilidade Pública/Energia Elétrica (Distribuição)";1;"Não*";89,9926961119832;0,843415133815636;0,930709597181364;0,970828790188138;0,845958376883158;0,951649868650699;NA;2022;0,857
"ENEVA S.A";"Utilidade Pública/Energia Elétrica (Geração e Transmissão)";40;"Sim";75,6177123248561;0,605214478814159;0,816547095783497;0,864272359682283;0,837962962962963;0,744894758808984;NA;2022;0,714
"ENGIE BRASIL ENERGIA S.A.";"Utilidade Pública/Energia Elétrica (Geração e Transmissão)";10;"Sim";82,7148853256077;0,733880471380472;0,882408150801493;0,877357142857143;0,875628306878307;0,879619047619047;NA;2022;0,714
"EZ TEC EMPREEND. E PARTICIPACOES S.A.";"Consumo Cíclico/Construção Civil/Incorporações";83;"Não";34,0967860005955;0,328030303030303;0,422776124338624;0,336279761904762;0,456172760770975;0,585;NA;2022;0,429
"FLEURY S.A.";"Saúde/Serv.Méd.Hospit.,Análises e Diagnósticos";36;"Sim";75,8969623047823;0,756344696969697;0,85453815675736;0,84389880952381;0,749126984126984;0,920909090909091;NA;2022;0,429
"GAFISA S.A.";"Consumo Cíclico/Construção Civil/Incorporações";71;"Sim";59,1036053469477;0,491578282828283;0,678744549532593;0,598005952380952;0,674796626984127;0,674090909090909;NA;2022;0,429
"GETNET ADQ. E SERV MEIOS DE PGTO S.A - INST PGTO.";"Financeiro e Outros/Serviços Financeiros Diversos";80;"Não";42,0780617510509;0,581792929292929;0,617596252378861;0,695456349206349;0,396722222222222;0,513636363636364;NA;2022;0
"GRENDENE S.A.";"Consumo Cíclico/Tecidos, Vestuário e Calçados/Calçados";56;"Sim";69,0230693901286;0,581313131313131;0,693331433729984;0,841904761904762;0,691005291005291;0,904829545454546;NA;2022;0,429
"GRUPO DE MODA SOMA S.A.";"Consumo Cíclico/Comércio/Tecidos, Vestuário e Calçados";73;"Não";55,5990968309444;0,435300925925926;0,560716157894866;0,72593253968254;0,518178004535147;0,381818181818182;NA;2022;0,714
"GUARARAPES CONFECCOES S.A.";"Consumo Cíclico/Comércio/Tecidos, Vestuário e Calçados";57;"Sim";68,7052794281567;0,667887205387205;0,70384308328715;0,812142857142857;0,610807256235828;0,613636363636364;NA;2022;0,714
"HYPERA S.A.";"Saúde/Comércio e Distribuição/Medicamentos e Outros Produtos";61;"Sim";66,2062091886632;0,495955387205387;0,726563989511227;0,692678571428571;0,621031746031746;0,722142857142857;NA;2022;0,714
"IGUATEMI S.A.";"Financeiro e Outros/Exploração de Imóveis/Intermediação Imobiliária";77;"Não";50,2210694331165;0,590702861952862;0,502576816299642;0,463511904761905;0,456563492063492;0,570909090909091;NA;2022;0,429
"IOCHPE MAXION S.A.";"Consumo Cíclico/Automóveis e Motocicletas";51;"Sim";70,9076358954503;0,637773569023569;0,725585919479781;0,723928571428571;0,520486111111111;0,932683982683983;NA;2022;0,714
